groups	1
12542	Hawaii - BYUH, Laie, Oahu D1
12543	Northeast - EWU, Cheney/Spokane D1
12544	Northwest - George Fox University D1
12545	Canada - University of British Columbia D1
12546	Puget Sound - University of Puget Sound D1
12547	N. California - UC Berkeley D1
312542	Hawaii - BYUH, Laie, Oahu D2
312543	Northeast - EWU, Cheney/Spokane D2
312544	Northwest - George Fox University D2
312545	Canada - University of British Columbia D2
312546	Puget Sound - University of Puget Sound D2
312547	N. California - UC Berkeley D2
