results	1
313265	1	Gold Medal	10	1093	248	Europe
312494	2	Gold Medal	10	1240	287	
313582	3	Gold Medal	10	1320	246	Asia
313264	4	Gold Medal	10	1377	299	
313266	5	Silver Medal	10	1460	287	
313604	6	Silver Medal	9	964	233	
313621	7	Silver Medal	9	1245	274	
313619	8	Silver Medal	8	1103	275	
313586	9	Bronze Medal	8	1119	272	
313268	10	Bronze Medal	8	1264	291	
312498	11	Bronze Medal	8	1357	290	
313579	12	Bronze Medal	8	1490	283	
313281	13	Ranked	7	791	239	
313618	13	Ranked	7	767	250	
311024	13	Ranked	7	1148	278	
313640	13	Ranked	7	846	296	
312499	13	Ranked	7	956	268	
313198	13	Ranked	7	908	256	South Pacific
310894	13	Ranked	7	1019	249	North America
313615	20	Ranked	6	659	258	
313616	20	Ranked	6	1561	294	
310849	20	Ranked	6	860	248	
312870	20	Ranked	6	720	242	
313581	20	Ranked	6	747	296	
313584	20	Ranked	6	897	286	
313274	20	Ranked	6	755	246	
313272	20	Ranked	6	638	244	
310869	20	Ranked	6	706	237	
310857	20	Ranked	6	795	254	
313273	20	Ranked	6	693	239	
312871	20	Ranked	6	889	294	
312496	20	Ranked	6	801	278	
312495	20	Ranked	6	760	276	
313612	34	Ranked	5	714	295	
313269	34	Ranked	5	389	206	
313583	34	Ranked	5	426	205	
312493	34	Ranked	5	347	117	
313595	34	Ranked	5	884	299	
312497	34	Ranked	5	491	187	
313279	34	Ranked	5	504	249	
313280	34	Ranked	5	523	254	
313271	34	Ranked	5	660	249	
310856	34	Ranked	5	654	287	
313603	34	Ranked	5	378	201	
313587	34	Ranked	5	674	277	
313277	34	Ranked	5	419	178	
311440	34	Ranked	5	612	230	Latin America
313590	34	Ranked	5	626	278	
310882	34	Ranked	5	655	220	
313585	34	Ranked	5	478	248	
310852	34	Ranked	5	540	277	
313270	34	Ranked	5	694	267	
311414	34	Ranked	5	661	272	
313609	34	Ranked	5	895	282	
312492	34	Ranked	5	649	264	
312663	56	Ranked	4	501	282	
313608	56	Ranked	4	293	176	
313611	56	Ranked	4	317	179	
313607	56	Ranked	4	249	137	
313718	56	Ranked	4	404	207	
312670	56	Ranked	4	674	295	
313592	56	Ranked	4	267	136	
313126	56	Ranked	4	255	102	
313593	56	Ranked	4	287	178	
312665	56	Ranked	4	333	180	
312669	56	Ranked	4	382	228	
312668	56	Ranked	4	196	95	Africa and the Middle East
313622	56	Ranked	4	222	143	
313633	56	Ranked	4	527	257	
311492	56	Ranked	4	344	209	
313591	56	Ranked	4	400	174	
313588	56	Ranked	4	542	254	
313199	56	Ranked	4	426	245	
313614	56	Ranked	4	310	198	
311413	56	Ranked	4	485	280	
313278	56	Ranked	4	217	110	
311498	56	Ranked	4	488	232	
312247	56	Ranked	4	669	206	
313276	56	Ranked	4	371	203	
313599	56	Ranked	4	562	269	
313620	56	Ranked	4	256	136	
313613	56	Ranked	4	273	148	
310858	56	Ranked	4	417	260	
310854	56	Ranked	4	395	222	
312667	56	Ranked	4	594	289	
310494	56	Ranked	4	757	287	
311612	56	Ranked	4	531	239	
311506	56	Ranked	4	281	124	
311611	56	Ranked	4	350	189	
311497	56	Ranked	4	300	173	
311520	56	Ranked	4	341	157	
311614	56	Ranked	4	481	277	
311615	56	Ranked	4	434	284	
311616	56	Ranked	4	360	270	
311613	56	Ranked	4	317	193	
311618	56	Ranked	4	320	199	
313724	56	Ranked	4	219	92	
311244	56	Ranked	4	396	184	
313719	56	Ranked	4	315	180	
313597	56	Ranked	4	341	228	
311417	56	Ranked	4	590	250	
311104	56	Ranked	4	430	195	
312500	56	Ranked	4	636	198	
313617	56	Ranked	4	418	234	
310898	56	Ranked	4	350	172	
313589	56	Ranked	4	292	108	
310901	56	Ranked	4	261	169	
313275	56	Ranked	4	335	187	
313605	56	Ranked	4	168	97	
312666		Honorable	0	0	0	
313596		Honorable	3	126	72	
310897		Honorable	3	271	102	
312671		Honorable	0	0	0	
311489		Honorable	3	203	131	
313601		Honorable	3	109	62	
310900		Honorable	2	365	171	
313598		Honorable	3	100	45	
312872		Honorable	3	306	216	
313594		Honorable	3	173	80	
313600		Honorable	0	0	0	
310899		Honorable	2	182	87	
311655		Honorable	2	130	77	
312664		Honorable	0	0	0	
311493		Honorable	3	272	98	
311517		Honorable	3	271	151	
311508		Honorable	3	198	133	
311488		Honorable	0	0	0	
311617		Honorable	3	101	65	
310495		Honorable	3	164	105	
312869		Honorable	2	99	54	
313602		Honorable	0	0	0	
310895		Honorable	3	111	63	
310902		Honorable	3	119	52	
